a	ˈeɪ
fountaineer	fˌaʊntɪnˈɪɹ
fountainhead	fˈaʊntɪnhˌɛd
fountainless	fˈaʊntɪnləs
fountainlet	fˈaʊntɪnlɪt
fountainous	fˈaʊntɪnəs
fountainously	fˈaʊntɪnəsli
fountainwise	fˈaʊntɪnwˌaɪz
fountful	fˈaʊntfəl
fouquieria	faʊkwˈɪɹiə
fouquieriaceae	fˈaʊkwɪɹˌɪeɪsˌiː
fouquieriaceous	fˌaʊkwɪɹɪˈeɪʃəs
four	fˈɔːɹ
fourble	fˈɔːɹbəl
fourche	fˈɔːɹtʃ
fourchee	fˈɔːɹtʃiː
fourcher	fˈɔːɹtʃɚ
fourchette	fɔːɹtʃˈɛt
fourchite	fˈɔːɹtʃaɪt
fourer	fˈɔːɹɚ
fourflusher	fˈɔːɹflʌʃɚ
fourfold	fˈɔːɹfoʊld
fourierian	fɔːɹˈɪɹiən
fourierism	fˈɔːɹɪɹˌɪzəm
fourierist	fˈɔːɹɪɹˌɪst
fourieristic	fˌɔːɹɪɹˈɪstɪk
fourierite	fˈɔːɹɪɹˌaɪt
fourling	fˈɔːɹlɪŋ
fourpence	fˈɔːɹpəns
fourpenny	fˈɔːɹpɛni
fourpounder	fˈɔːɹpaʊndɚ
fourre	fˈɔːɹə
fourrier	fˈɔːɹiɚ
fourscore	fˈɔːɹskɔːɹ
foursome	fˈɔːɹsʌm
foursquare	fˈɔːɹskwɛɹ
foursquarely	fˈɔːɹskwɛɹli
foursquareness	fˈɔːɹskwɛɹnəs
fourstrand	fˈɔːɹstɹænd
fourteen	fˈɔːɹtiːn
fourteener	fˈɔːɹtiːnɚ
fourteenfold	fˈɔːɹtiːnfˌoʊld
fourteenth	fˈɔːɹtiːnθ
fourteenthly	fˈɔːɹtiːnθli
fourth	fˈɔːɹθ
fourther	fˈɔːɹðɚ
fourthly	fˈɔːɹθli
foussa	fˈaʊsə
foute	fˈaʊt
fouter	fˈaʊɾɚ
fouth	fˈaʊθ
fovea	fˈoʊviə
foveal	fˈoʊvəl
foveate	fˈoʊveɪt
foveated	fˈoʊveɪɾᵻd
foveation	foʊvˈeɪʃən
foveiform	fˈoʊvɪfˌɔːɹm
foveola	foʊvˈoʊlə
foveolarious	fˌoʊvoʊlˈɛɹiəs
foveolate	fˈoʊvəlˌeɪt
foveolated	fˈoʊvəlˌeɪɾᵻd
foveole	fˈoʊvoʊl
foveolet	fˈoʊvɑːlɪt
fow	fˈaʊ
fowk	fˈaʊk
fowl	fˈaʊl
fowler	fˈaʊlɚ
fowlerite	fˈaʊlɚɹˌaɪt
fowlery	fˈaʊlɚɹi
fowlfoot	fˈaʊlfʊt
fowling	fˈaʊlɪŋ
fox	fˈɑːks
foxbane	fˈɑːksbeɪn
foxberry	fˈɑːksbɛɹi
foxchop	fˈɑːkstʃɑːp
foxer	fˈɑːksɚ
foxery	fˈɑːksɚɹi
foxfeet	fˈɑːksfiːt
foxfinger	fˈɑːksfɪŋɡɚ
foxfish	fˈɑːksfɪʃ
foxglove	fˈɑːksɡlʌv
foxhole	fˈɑːkshoʊl
foxhound	fˈɑːkshaʊnd
foxily	fˈɑːksili
foxiness	fˈɑːksinəs
foxing	fˈɑːksɪŋ
foxish	fˈɑːksɪʃ
foxlike	fˈɑːkslaɪk
foxproof	fˈɑːkspɹuːf
foxship	fˈɑːksʃɪp
foxskin	fˈɑːksskɪn
foxtail	fˈɑːksteɪl
foxtailed	fˈɑːksteɪld
foxtongue	fˈɑːkstʌŋ
foxwood	fˈɑːkswʊd
foxy	fˈɑːksi
foy	fˈɔɪ
foyaite	fˈɔɪeɪt
foyaitic	fɔɪˈeɪɾɪk
foyboat	fˈɔɪboʊt
foyer	fˈɔɪeɪ
foziness	fˈoʊzinəs
fozy	fˈoʊzi
fra	fɹˈɑː
frab	fɹˈæb
frabbit	fɹˈæbɪt
frabjous	fɹˈæbdʒəs
frabjously	fɹˈæbdʒəsli
frabous	fɹˈæbəs
fracas	fɹˈɑːkəz
fracedinous	fɹˈeɪsdɪnəs
frache	fɹˈeɪk
frack	fɹˈæk
fractable	fɹˈæktəbəl
fractabling	fɹæktˈeɪblɪŋ
fracted	fɹˈæktᵻd
fracticipita	fɹæktˈɪsɪpˈiːɾə
fractile	fɹˈæktaɪl
fraction	fɹˈækʃən
fractional	fɹˈækʃənəl
fractionalism	fɹˈækʃənəlˌɪzəm
fractionalize	fɹˈækʃənəlˌaɪz
fractionally	fɹˈækʃənəli
fractionary	fɹˈækʃənˌɛɹi
fractionate	fɹˈækʃənət
fractionating	fɹˈækʃənəɾɪŋ
fractionation	fɹˈækʃənˈeɪʃən
fractionator	fɹˈækʃənˌeɪɾɚ
fractionization	fɹˌækʃənᵻzˈeɪʃən
fractionize	fɹˈækʃənˌaɪz
fractionlet	fɹˈækʃənlɪt
fractious	fɹˈækʃəs
fractiously	fɹˈækʃəsli
fractiousness	fɹˈækʃəsnəs
fractocumulus	fɹˌæktəkjˈuːmjʊləs
fractonimbus	fɹˈæktənˌɪmbəs
fractostratus	fɹˈæktəstɹˌæɾəs
fractuosity	fɹˌæktʃuːˈɔsᵻɾi
fracturable	fɹˈæktʃɚɹəbəl
fractural	fɹˈæktʃɚɹəl
fracture	fɹˈæktʃɚ
fractureproof	fɹˈæktʃɚɹˌɛpɹuːf
frae	fɹˈiː
fragaria	fɹæɡˈɛɹiə
fraghan	fɹˈæɡən
fragilaria	fɹˌædʒɪlˈɛɹiə
fragilariaceae	fɹˈædʒɪlˌɑːɹɹɪˌeɪsiː
fragile	fɹˈædʒəl
fragilely	fɹˈædʒəlli
fragileness	fɹˈædʒəlnəs
fragility	fɹædʒˈɪlᵻɾi
fragment	fɹˈæɡmənt
fragmental	fɹæɡmˈɛntəl
fragmentally	fɹæɡmˈɛntəli
fragmentarily	fɹˌæɡməntˈɛɹᵻli
fragmentariness	fɹæɡmˈɛntɚɹinəs
fragmentary	fɹæɡmˈɛntɚɹi
fragmentation	fɹˌæɡməntˈeɪʃən
fragmented	fɹæɡmˈɛntɪd
fragmentist	fɹˈæɡməntˌɪst
fragmentitious	fɹˌæɡməntˈɪʃəs
fragmentize	fɹˈæɡməntˌaɪz
fragrance	fɹˈeɪɡɹəns
fragrancy	fɹˈeɪɡɹənsi
fragrant	fɹˈeɪɡɹənt
fragrantly	fɹˈeɪɡɹəntli
fragrantness	fɹˈeɪɡɹəntnəs
fraid	fɹˈeɪd
fraik	fɹˈeɪk
frail	fɹˈeɪl
frailejon	fɹˈeɪlɛdʒən
frailish	fɹˈeɪlɪʃ
frailly	fɹˈeɪli
frailness	fɹˈeɪlnəs
frailty	fɹˈeɪlti
fraise	fɹˈeɪz
fraiser	fɹˈeɪzɚ
fram	fɹˈæm
framable	fɹˈeɪməbəl
framableness	fɹˈeɪməbəlnəs
frambesia	fɹæmbˈiːʒə
frame	fɹˈeɪm
framea	fɹˈeɪmə
frameable	fɹˈeɪməbəl
frameableness	fɹˈeɪməbəlnəs
framed	fɹˈeɪmd
frameless	fɹˈeɪmləs
framer	fɹˈeɪmɚ
framesmith	fɹˈeɪmsmɪθ
framework	fɹˈeɪmwɜːk
framing	fɹˈeɪmɪŋ
frammit	fɹˈæmɪt
frampler	fɹˈæmplɚ
frampold	fɹˈæmpoʊld
franc	fɹˈæŋk
frances	fɹˈænsɪs
franchisal	fɹˈæntʃɪsəl
franchise	fɹˈæntʃaɪz
franchisement	fɹˈæntʃaɪzmənt
franchiser	fɹˈæntʃaɪzɚ
francic	fɹˈænsɪk
francis	fɹˈænsɪs
francisc	fɹˈænsɪsk
francisca	fɹˈænsɪskə
franciscan	fɹænsˈɪskən
franciscanism	fɹænsˈɪskənˌɪzəm
francisco	fɹænsˈɪskoʊ
francium	fɹˈænsiəm
francize	fɹˈænsaɪz
franco	fɹˈæŋkoʊ
francois	fɹˈænswɑː
francolin	fɹˈæŋkəlˌɪn
francolite	fɹˈæŋkəlˌaɪt
francomania	fɹˌæŋkəmˈeɪniə
franconian	fɹæŋkˈoʊniən
francophile	fɹˈæŋkəfˌaɪl
francophilism	fɹˈæŋkəfˌɪlɪzəm
francophobe	fɹˈæŋkəfˌoʊb
francophobia	fɹˌæŋkəfˈoʊbiə
frangent	fɹˈeɪndʒənt
frangi	fɹˈæŋɡi
frangibility	fɹˌændʒɪbˈɪlᵻɾi
frangible	fɹˈændʒɪbəl
frangibleness	fɹˈændʒɪbəlnəs
frangipane	fɹˈæŋɡɪpˌeɪn
frangipani	fɹˌæŋɡɪpˈɑːni
frangula	fɹˈæŋɡjʊlə
frangulaceae	fɹˈæŋɡjʊlˌeɪsiː
frangulic	fɹˌæŋɡjˈʊlɪk
frangulin	fɹˈæŋɡjʊlˌɪn
frangulinic	fɹˌæŋɡjʊlˈɪnɪk
frank	fɹˈæŋk
frankability	fɹˌæŋkəbˈɪlᵻɾi
frankable	fɹˈæŋkəbəl
frankalmoign	fɹˈæŋkɐlmˌɔɪn
frankenia	fɹæŋkˈiːniə
frankeniaceae	fɹæŋkˈiːnɪˌeɪsiː
frankeniaceous	fɹæŋkˌiːnɪˈeɪʃəs
frankenstein	fɹˈæŋkənstˌaɪn
franker	fɹˈæŋkɚ
frankfurter	fɹˈæŋkfɜːɾɚ
frankhearted	fɹˈæŋkhɑːɹɾᵻd
frankheartedly	fɹˈæŋkhɑːɹɾᵻdli
frankheartedness	fɹˈæŋkhɑːɹɾᵻdnəs
frankify	fɹˈæŋkᵻfˌaɪ
frankincense	fɹˈæŋkɪnsˌɛns
frankincensed	fɹˈæŋkɪnsˌɛnst
franking	fɹˈæŋkɪŋ
frankish	fɹˈæŋkɪʃ
frankist	fɹˈæŋkɪst
franklandite	fɹˈæŋklɐndˌaɪt
franklin	fɹˈæŋklɪn
franklinia	fɹæŋklˈɪniə
franklinian	fɹæŋklˈɪniən
frankliniana	fɹˌæŋklɪniˈɑːnə
franklinic	fɹæŋklˈɪnɪk
franklinism	fɹˈæŋklɪnˌɪzəm
franklinist	fɹˈæŋklɪnˌɪst
franklinite	fɹˈæŋklɪnˌaɪt
franklinization	fɹˌæŋklɪnᵻzˈeɪʃən
frankly	fɹˈæŋkli
frankmarriage	fɹˈæŋkmæɹɪdʒ
frankness	fɹˈæŋknəs
frankpledge	fɹˈæŋkplɛdʒ
frantic	fɹˈæntɪk
frantically	fɹˈæntɪkli
franticly	fɹˈæntɪkli
franticness	fɹˈæntɪknəs
franzy	fɹˈænzi
frap	fɹˈæp
frappe	fɹˈæp
frapping	fɹˈæpɪŋ
frasco	fɹˈæskoʊ
frase	fɹˈeɪz
frasera	fɹˈæzɚɹə
frasier	fɹˈeɪsiɚ
frass	fɹˈæs
frat	fɹˈæt
fratch	fɹˈætʃ
fratched	fɹˈætʃt
fratcheous	fɹˈætʃiəs
fratcher	fɹˈætʃɚ
fratchety	fɹˈætʃɪɾi
fratchy	fɹˈætʃi
frater	fɹˈeɪɾɚ
fratercula	fɹˈæɾɚkjˌʊlə
fraternal	fɹɐtˈɜːnəl
fraternalism	fɹɐtˈɜːnəlˌɪzəm
fraternalist	fɹɐtˈɜːnəlˌɪst
fraternality	fɹɐɾɚnˈælᵻɾi
fraternally	fɹɐtˈɜːnəli
fraternate	fɹɐtˈɜːneɪt
fraternation	fɹɐɾɚnˈeɪʃən
fraternism	fɹɐtˈɜːnɪzəm
fraternity	fɹɐtˈɜːnᵻɾi
fraternization	fɹɐtˌɜːnᵻzˈeɪʃən
fraternize	fɹɐtˈɜːnaɪz
fraternizer	fɹɐtˈɜːnaɪzɚ
fratery	fɹˈeɪɾɚɹi
fraticelli	fɹˌæɾᵻtʃˈɛli
fraticellian	fɹætˈaɪsəlˌiən
fratority	fɹætˈɔːɹᵻɾi
fratricelli	fɹˈeɪtɹᵻtʃˈɛli
fratricidal	fɹˌætɹɪsˈaɪdəl
fratricide	fɹˈætɹɪsˌaɪd
fratry	fɹˈætɹi
fraud	fɹˈɔːd
fraudful	fɹˈɔːdfəl
fraudfully	fɹˈɔːdfəli
fraudless	fɹˈɔːdləs
fraudlessly	fɹˈɔːdləsli
fraudlessness	fɹˈɔːdləsnəs
fraudproof	fɹˈɔːdpɹuːf
fraudulence	fɹˈɔːdʒuːləns
fraudulency	fɹˈɔːdʒuːlənsi
fraudulent	fɹˈɔːdʒuːlənt
fraudulently	fɹˈɔːdʒuːləntli
fraudulentness	fɹˈɔːdʒuːləntnəs
fraughan	fɹˈɔːən
fraught	fɹˈɔːt
frawn	fɹˈɔːn
fraxetin	fɹˈæksɪtˌɪn
fraxin	fɹˈæksɪn
fraxinella	fɹˌæksaɪnˈɛlə
fraxinus	fɹˈæksɪnəs
fray	fɹˈeɪ
frayed	fɹˈeɪd
frayedly	fɹˈeɪᵻdli
frayedness	fɹˈeɪdnəs
fraying	fɹˈeɪɪŋ
frayn	fɹˈeɪn
frayproof	fɹˈeɪpɹuːf
fraze	fɹˈeɪz
frazer	fɹˈeɪzɚ
frazil	fɹˈeɪzɪl
frazzle	fɹˈæzəl
frazzling	fɹˈæzlɪŋ
freak	fɹˈiːk
freakdom	fɹˈiːkdəm
freakery	fɹˈiːkɚɹi
freakful	fɹˈiːkfəl
freakily	fɹˈiːkili
freakiness	fɹˈiːkinəs
freakish	fɹˈiːkɪʃ
freakishly	fɹˈiːkɪʃli
freakishness	fɹˈiːkɪʃnəs
freaky	fɹˈiːki
fream	fɹˈiːm
freath	fɹˈiːθ
freck	fɹˈɛk
frecken	fɹˈɛkən
freckened	fɹˈɛkənd
frecket	fɹˈɛkɪt
freckle	fɹˈɛkəl
freckled	fɹˈɛkəld
freckledness	fɹˈɛkəldnəs
freckleproof	fɹˈɛklɪpɹˌuːf
freckling	fɹˈɛklɪŋ
frecklish	fɹˈɛklɪʃ
freckly	fɹˈɛkli
fred	fɹˈɛd
freddie	fɹˈɛdi
freddy	fɹˈɛdi
frederic	fɹɛdˈɛɹɪk
frederica	fɹˈɛdɚɹˌɪkə
frederick	fɹˈɛdɚɹˌɪk
frederik	fɹˈɛdɚɹˌɪk
fredricite	fɹˈɛdɹɪsˌaɪt
free	fɹˈiː
freeboard	fɹˈiːbɔːɹd
freeboot	fɹˈiːbuːt
freebooter	fɹˈiːbuːɾɚ
freebootery	fɹˈiːbuːtˌɛɹi
freebooting	fɹˈiːbuːɾɪŋ
freeborn	fɹˈiːbɔːɹn
freechurchism	fɹˈiːtʃɚtʃˌɪzəm
freed	fɹˈiːd
freedman	fɹˈiːdmən
freedom	fɹˈiːdəm
freedwoman	fɹˈiːdwʊmən
freehand	fɹˈiːhænd
freehanded	fɹˈiːhændᵻd
freehandedly	fɹˈiːhɐndᵻdli
freehandedness	fɹˈiːhɐndᵻdnəs
freehearted	fɹˈiːhɑːɹɾᵻd
freeheartedly	fɹˈiːhɑːɹɾᵻdli
freeheartedness	fɹˈiːhɑːɹɾᵻdnəs
freehold	fɹˈiːhoʊld
freeholder	fɹˈiːhoʊldɚ
freeholdership	fɹˈiːhoʊldɚʃˌɪp
freeholding	fɹˈiːhoʊldɪŋ
freeing	fɹˈiːɪŋ
freeish	fɹˈiːɪʃ
freekirker	fɹˈiːkɜːkɚ
freelage	fɹˈiːlɪdʒ
freeloving	fɹˈiːlʌvɪŋ
freelovism	fɹˈiːləvˌɪzəm
freely	fɹˈiːli
freeman	fɹˈiːmən
freemanship	fɹˈiːmənʃˌɪp
freemartin	fɹˈiːmɑːɹtˌɪn
freemason	fɹˈiːmeɪsən
freemasonic	fɹˈiːmɐsˈɑːnɪk
freemasonical	fɹˈiːmɐsˈɑːnɪkəl
freemasonism	fɹˌiːmˈæsənˌɪzəm
freemasonry	fɹˈiːmeɪsənɹi
freeness	fɹˈiːnəs
freer	fɹˈiːɚ
freesia	fɹˈiːʒə
freesilverism	fɹˈiːsɪlvɚɹˌɪzəm
freesilverite	fɹˈiːsɪlvɚɹˌaɪt
freestanding	fɹˈiːstændɪŋ
freestone	fɹˈiːstoʊn
freet	fɹˈiːt
freethinker	fɹˈiːθɪŋkɚ
freethinking	fɹˈiːθɪŋkɪŋ
freetrader	fɹˈiːtɹeɪdɚ
freety	fɹˈiːɾi
freeward	fɹˈiːwɚd
freeway	fɹˈiːweɪ
freewheel	fɹˈiːwiːl
freewheeler	fɹˈiːwiːlɚ
freewheeling	fɹˈiːwiːlɪŋ
freewill	fɹˈiːwɪl
freewoman	fɹˈiːwʊmən
freezable	fɹˈiːzəbəl
freeze	fɹˈiːz
freezer	fɹˈiːzɚ
freezing	fɹˈiːzɪŋ
freezingly	fɹˈiːzɪŋli
fregata	fɹɛɡˈɑːɾə
fregatae	fɹˈɛɡɐtˌiː
fregatidae	fɹˈɛɡɐtˌɪdiː
freibergite	fɹˈeɪbɚdʒˌaɪt
freieslebenite	fɹˈeɪɪslˌɛbənˌaɪt
freight	fɹˈeɪt
freightage	fɹˈeɪɾɪdʒ
freighter	fɹˈeɪɾɚ
freightless	fɹˈeɪtləs
freightment	fɹˈeɪtmənt
freir	fɹˈɛɹ
freit	fɹˈeɪt
freity	fɹˈeɪɾi
fremd	fɹˈɛmdˌiː
fremdly	fɹˈɛmdˌiːli
fremdness	fɹˈɛmdˌiːnəs
fremescence	fɹɛmˈɛsəns
fremescent	fɹɛmˈɛsənt
fremitus	fɹˈɛmɪɾəs
fremontia	fɹˈɛmɔnʃə
fremontodendron	fɹˌɛmɔntoʊdˈɛndɹən
frenal	fɹˈiːnəl
frenatae	fɹˈɛnɐtˌiː
frenate	fɹˈɛneɪt
french	fɹˈɛntʃ
frenched	fɹˈɛntʃt
frenchification	fɹˌɛntʃɪfɪkˈeɪʃən
frenchify	fɹˈɛntʃᵻfˌaɪ
frenchily	fɹˈɛntʃili
frenchiness	fɹˈɛntʃinəs
frenching	fɹˈɛntʃɪŋ
frenchism	fɹˈɛntʃɪzəm
frenchize	fɹˈɛntʃaɪz
frenchless	fɹˈɛntʃləs
frenchly	fɹˈɛntʃli
frenchman	fɹˈɛntʃmən
frenchness	fɹˈɛntʃnəs
frenchwise	fɹˈɛntʃwaɪz
frenchwoman	fɹˈɛntʃwʊmən
frenchy	fɹˈɛntʃi
frenetic	fɹɛnˈɛɾɪk
frenetical	fɹɛnˈɛɾɪkəl
frenetically	fɹɛnˈɛɾɪkli
frenghi	fɹˈɛŋɡaɪ
frenular	fɹˈɛnjʊlɚ
frenulum	fɹˈɛnjʊləm
frenum	fɹˈɛnəm
frenzelite	fɹˈɛnzɪlˌaɪt
frenzied	fɹˈɛnzid
frenziedly	fɹˈɛnzᵻdli
frenzy	fɹˈɛnzi
freon	fɹˈiːɑːn
frequence	fɹˈiːkwəns
frequency	fɹˈiːkwənsi
frequent	fɹˈiːkwənt
frequentable	fɹˈiːkwəntəbəl
frequentage	fɹˈiːkwɛntɪdʒ
frequentation	fɹˌiːkwəntˈeɪʃən
frequentative	fɹiːkwˈɛntətˌɪv
frequenter	fɹˈiːkwɛntɚ
frequently	fɹˈiːkwəntli
frequentness	fɹˈiːkwəntnəs
frescade	fɹˈɛskeɪd
fresco	fɹˈɛskoʊ
frescoer	fɹˈɛskoʊɚ
frescoist	fɹˈɛskoʊˌɪst
fresh	fɹˈɛʃ
freshen	fɹˈɛʃən
freshener	fɹˈɛʃənɚ
freshet	fɹˈɛʃɪt
freshhearted	fɹˈɛʃhɑːɹɾᵻd
freshish	fɹˈɛʃɪʃ
freshly	fɹˈɛʃli
freshman	fɹˈɛʃmən
freshmanhood	fɹˈɛʃmənhˌʊd
freshmanic	fɹɛʃmˈænɪk
freshmanship	fɹˈɛʃmənʃˌɪp
freshness	fɹˈɛʃnəs
freshwoman	fɹˈɛʃwʊmən
fresison	fɹˈɛsɪsən
fresnel	fɹˈɛsnəl
fresno	fɹˈɛsnoʊ
fret	fɹˈɛt
fretful	fɹˈɛtfəl
fretfully	fɹˈɛtfəli
fretfulness	fɹˈɛtfəlnəs
fretless	fɹˈɛtləs
fretsome	fɹˈɛtsʌm
frett	fɹˈɛt
frettage	fɹˈɛɾɪdʒ
frettation	fɹɛtˈeɪʃən
frette	fɹˈɛt
fretted	fɹˈɛɾᵻd
fretter	fɹˈɛɾɚ
fretting	fɹˈɛɾɪŋ
frettingly	fɹˈɛɾɪŋli
fretty	fɹˈɛɾi
fretum	fɹˈɛɾəm
fretways	fɹˈɛtweɪz
fretwise	fɹˈɛtwaɪz
fretwork	fɹˈɛtwɜːk
fretworked	fɹˈɛtwɜːkt
freudian	fɹˈɔɪdiən
freudianism	fɹˈɔɪdiənˌɪzəm
freudism	fɹˈɔɪdɪzəm
freudist	fɹˈɔɪdɪst
freya	fɹˈeɪə
freyalite	fɹˈeɪəlˌaɪt
freycinetia	fɹˌeɪsaɪnˈiːʃə
freyja	fɹˈeɪdʒə
freyr	fɹˈeɪɚ
friability	fɹɪəbˈɪlᵻɾi
friable	fɹɪəblˈɛ
friableness	fɹɪəbəlnˈɛs
friand	fɹˈaɪənd
friandise	fɹˈaɪəndˌaɪz
friar	fɹˈaɪɚ
friarbird	fɹˈaɪɚbɜːd
friarhood	fɹˈaɪɚhʊd
friarling	fɹˈaɪɚlɪŋ
friarly	fɹˈaɪɚli
friary	fɹˈaɪɚɹi
frib	fɹˈɪb
fribble	fɹˈɪbəl
fribbleism	fɹˈɪbəlˌɪzəm
fribbler	fɹˈɪblɚ
fribblery	fɹˈɪbəlɹi
fribbling	fɹˈɪblɪŋ
fribblish	fɹˈɪblɪʃ
fribby	fɹˈɪbi
fricandeau	fɹˈɪkɐndˌoʊ
fricandel	fɹˈɪkændəl
fricassee	fɹˈɪkɐsˌeɪ
frication	fɹɪkˈeɪʃən
fricative	fɹˈɪkətˌɪv
fricatrice	fɹɪkˈeɪtɹɪs
friction	fɹˈɪkʃən
frictionable	fɹˈɪkʃənəbəl
frictional	fɹˈɪkʃənəl
frictionally	fɹˈɪkʃənəli
frictionize	fɹˈɪkʃənˌaɪz
frictionless	fɹˈɪkʃənləs
frictionlessly	fɹˈɪkʃənləsli
frictionproof	fɹˈɪkʃənpɹˌuːf
friday	fɹˈaɪdeɪ
fridila	fɹɪdˈɪlə
fridstool	fɹˈɪdstuːl
fried	fɹˈaɪd
frieda	fɹiˈɛdə
friedcake	fɹˈiːdkeɪk
friedelite	fɹˈiːdɪlˌaɪt
friedrichsdor	fɹˈiːdɹɪtʃsdˌɔːɹ
friend	fɹˈɛnd
friended	fɹˈɛndᵻd
friendless	fɹˈɛndləs
friendlessness	fɹˈɛndləsnəs
friendlike	fɹˈɛndlaɪk
friendlily	fɹˈɛndlili
friendliness	fɹˈɛndlinəs
friendliwise	fɹˈɛndliwˌaɪz
friendly	fɹˈɛndli
friendship	fɹˈɛndʃɪp
frier	fɹˈaɪɚ
frieseite	fɹˈiːseɪt
friesian	fɹˈiːʒən
friesic	fɹˈiːzɪk
friesish	fɹˈiːsɪʃ
frieze	fɹˈiːz
friezer	fɹˈiːzɚ
friezy	fɹˈiːzi
frig	fɹˈɪɡ
frigate	fɹˈɪɡət
frigatoon	fɹˌɪɡɐtˈuːn
friggle	fɹˈɪɡəl
fright	fɹˈaɪt
frightable	fɹˈaɪɾəbəl
frighten	fɹˈaɪʔn̩
frightenable	fɹˈaɪtiːnəbəl
frightened	fɹˈaɪʔn̩d
frightenedly	fɹˈaɪtiːnᵻdli
frightenedness	fɹˈaɪʔn̩dnəs
frightener	fɹˈaɪʔn̩ɚ
frightening	fɹˈaɪʔn̩ɪŋ
frighteningly	fɹˈaɪʔn̩ɪŋli
frighter	fɹˈaɪɾɚ
frightful	fɹˈaɪtfəl
frightfully	fɹˈaɪtfəli
frightfulness	fɹˈaɪtfəlnəs
frightless	fɹˈaɪtləs
frightment	fɹˈaɪtmənt
frighty	fɹˈaɪɾi
frigid	fɹˈɪdʒɪd
frigidaire	fɹˌɪdʒɪdˈɛɹ
frigidarium	fɹˌɪdʒɪdˈɛɹiəm
frigidity	fɹɪdʒˈɪdᵻɾi
frigidly	fɹˈɪdʒɪdli
frigidness	fɹˈɪdʒɪdnəs
frigiferous	fɹɪdʒˈɪfɚɹəs
frigolabile	fɹˈɪɡəlˌæbaɪl
frigoric	fɹɪɡˈɔːɹɪk
frigorific	fɹˌɪɡɔːɹˈɪfɪk
frigorifical	fɹˌɪɡɔːɹˈɪfɪkəl
frigorify	fɹɪɡˈɔːɹᵻfˌaɪ
frigorimeter	fɹˌɪɡɔːɹˈɪmᵻɾɚ
frigostable	fɹˈɪɡəstəbəl
frigotherapy	fɹˈɪɡoʊθˌɛɹəpi
frija	fɹˈiːdʒə
frijol	fɹˈɪdʒɑːl
frijolillo	fɹˌɪdʒəlˈɪloʊ
frijolito	fɹˌɪdʒəlˈiːɾoʊ
frike	fɹˈaɪk
frill	fɹˈɪl
frillback	fɹˈɪlbæk
frilled	fɹˈɪld
friller	fɹˈɪlɚ
frillery	fɹˈɪlɚɹi
frillily	fɹˈɪlili
frilliness	fɹˈɪlinəs
frilling	fɹˈɪlɪŋ
frilly	fɹˈɪli
frim	fɹˈɪm
frimaire	fɹɪmˈɛɹ
fringe	fɹˈɪndʒ
fringed	fɹˈɪndʒd
fringeflower	fɹˈɪndʒɪflˌaʊɚ
fringeless	fɹˈɪndʒləs
fringelet	fɹˈɪndʒɛlɪt
fringent	fɹˈɪndʒənt
fringepod	fɹˈɪndʒɪpˌɑːd
fringetail	fɹˈɪndʒɪtˌeɪl
fringilla	fɹɪŋɡˈɪlə
fringillaceous	fɹˌɪŋɡɪlˈeɪʃəs
fringillidae	fɹˈɪŋɡɪlˌɪdiː
fringilliform	fɹˈɪŋɡɪlˌɪfɔːɹm
fringilliformes	fɹˈɪŋɡɪlˌɪfɔːɹmz
fringilline	fɹˈɪŋɡɪlˌaɪn
fringilloid	fɹˈɪŋɡɪlˌɔɪd
fringing	fɹˈɪndʒɪŋ
fringy	fɹˈɪŋi
fripperer	fɹˈɪpɚɹɚ
frippery	fɹˈɪpɚɹi
frisca	fɹˈɪskə
frisesomorum	fɹˌaɪssəmˈɔːɹəm
frisette	fɹaɪsˈɛt
frisian	fɹˈɪʒən
frisii	fɹˈɪsɪˌaɪ
frisk	fɹˈɪsk
frisker	fɹˈɪskɚ
frisket	fɹˈɪskɪt
friskful	fɹˈɪskfəl
friskily	fɹˈɪskili
friskiness	fɹˈɪskinəs
frisking	fɹˈɪskɪŋ
friskingly	fɹˈɪskɪŋli
frisky	fɹˈɪski
frisolee	fɹˈɪsoʊlˌiː
frison	fɹˈɪsən
frist	fɹˈɪst
frisure	fɹˈɪʒɚ
frit	fɹˈɪt
frith	fɹˈɪθ
frithborh	fɹˈɪθbɔːɹ
frithbot	fɹˈɪθbɑːt
frithles	fɹˈɪθəlz
frithsoken	fɹˈɪθsoʊkən
frithstool	fɹˈɪθstuːl
frithwork	fɹˈɪθwɜːk
fritillaria	fɹˌɪɾɪlˈɛɹiə
fritillary	fɹˈɪɾɪlɚɹi
fritt	fɹˈɪt
fritter	fɹˈɪɾɚ
fritterer	fɹˈɪɾɚɹɚ
fritz	fɹˈɪts
friulian	fɹɪjˈuːliən
frivol	fɹˈɪvɑːl
frivoler	fɹˈɪvoʊlɚ
frivolism	fɹˈɪvoʊlˌɪzəm
frivolist	fɹˈɪvəlˌɪst
frivolity	fɹɪvˈɑːlᵻɾi
frivolize	fɹˈɪvəlˌaɪz
frivolous	fɹˈɪvələs
frivolously	fɹˈɪvələsli
frivolousness	fɹˈɪvələsnəs
frixion	fɹˈɪkʃən
friz	fɹˈɪz
frize	fɹˈaɪz
frizer	fɹˈaɪzɚ
frizz	fɹˈɪz
frizzer	fɹˈɪzɚ
frizzily	fɹˈɪzɪli
frizziness	fɹˈɪzɪnəs
frizzing	fɹˈɪzɪŋ
frizzle	fɹˈɪzəl
frizzler	fɹˈɪzlɚ
frizzly	fɹˈɪzli
